PROD_EST,ANIO,MES,TIPO,TIPO_DE_TRANSPORTE,CATEGORIA,VARIABLE,VALOR,UNIDAD_DE_MEDIDA,ESTATUS
Encuesta de Turismo de Internación (ETI),2019,Abril,Egresos,Terrestre,Turistas de internación,Gasto total,109913130,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Egresos,Aéreo,Turistas de internación,Número de visitantes,515873,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Abril,Egresos,Terrestre,Turistas de internación,Número de visitantes,476645,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Aéreo,Turistas de internación,Gasto total,1548893283,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Terrestre,Turistas de internación,Gasto total,107096807,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,37269644,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1534811,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Terrestre,Turistas de internación,Número de visitantes,300254,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,546941,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Egresos,Aéreo,Turistas de internación,Gasto total,373884112,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Egresos,Terrestre,Turistas de internación,Gasto total,100514941,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Egresos,Aéreo,Turistas de internación,Número de visitantes,475725,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Mayo,Egresos,Terrestre,Turistas de internación,Número de visitantes,431883,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Aéreo,Turistas de internación,Gasto total,1558365839,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Terrestre,Turistas de internación,Gasto total,140459049,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,35927176,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1706977,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Terrestre,Turistas de internación,Número de visitantes,456406,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,527812,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Egresos,Aéreo,Turistas de internación,Gasto total,372735427,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Egresos,Terrestre,Turistas de internación,Gasto total,97723231,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Egresos,Aéreo,Turistas de internación,Número de visitantes,468523,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Junio,Egresos,Terrestre,Turistas de internación,Número de visitantes,419334,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Aéreo,Turistas de internación,Gasto total,1732883659,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Terrestre,Turistas de internación,Gasto total,136541254,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,41146567,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1730936,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Terrestre,Turistas de internación,Número de visitantes,466002,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,596917,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Egresos,Aéreo,Turistas de internación,Gasto total,531892978,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Egresos,Terrestre,Turistas de internación,Gasto total,137803194,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Egresos,Aéreo,Turistas de internación,Número de visitantes,584318,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Julio,Egresos,Terrestre,Turistas de internación,Número de visitantes,540773,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Aéreo,Turistas de internación,Gasto total,1529750493,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Terrestre,Turistas de internación,Gasto total,115366112,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,41066095,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1428737,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Terrestre,Turistas de internación,Número de visitantes,322619,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,597161,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Egresos,Aéreo,Turistas de internación,Gasto total,489426617,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Egresos,Terrestre,Turistas de internación,Gasto total,121476753,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Egresos,Aéreo,Turistas de internación,Número de visitantes,595938,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Agosto,Egresos,Terrestre,Turistas de internación,Número de visitantes,512985,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Aéreo,Turistas de internación,Gasto total,1073308244,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Terrestre,Turistas de internación,Gasto total,70291070,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,36284509,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1053496,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,229661,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,530560,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Egresos,Aéreo,Turistas de internación,Gasto total,410441712,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Egresos,Terrestre,Turistas de internación,Gasto total,123870849,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Egresos,Aéreo,Turistas de internación,Número de visitantes,512020,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Septiembre,Egresos,Terrestre,Turistas de internación,Número de visitantes,490450,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Aéreo,Turistas de internación,Gasto total,1246695818,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Terrestre,Turistas de internación,Gasto total,87992772,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Cruceros,Excursionistas en cruceros,Gasto total,49773610,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Aéreo,Turistas de internación,Número de visitantes,1349811,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Terrestre,Turistas de internación,Número de visitantes,283911,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Ingresos,Cruceros,Excursionistas en cruceros,Número de visitantes,706047,Número de entradas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Egresos,Aéreo,Turistas de internación,Gasto total,369416208,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Egresos,Terrestre,Turistas de internación,Gasto total,154162466,Dólares,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Egresos,Aéreo,Turistas de internación,Número de visitantes,514537,Número de salidas,Cifras preliminares
Encuesta de Turismo de Internación (ETI),2019,Octubre,Egresos,Terrestre,Turistas de internación,Número de visitantes,652114,Número de salidas,Cifras preliminares
